Variable,Type,Description
V1,float64,Anonymized PCA feature
V2,float64,Anonymized PCA feature
V3,float64,Anonymized PCA feature
V4,float64,Anonymized PCA feature
V5,float64,Anonymized PCA feature
V6,float64,Anonymized PCA feature
V7,float64,Anonymized PCA feature
V8,float64,Anonymized PCA feature
V9,float64,Anonymized PCA feature
V10,float64,Anonymized PCA feature
V11,float64,Anonymized PCA feature
V12,float64,Anonymized PCA feature
V13,float64,Anonymized PCA feature
V14,float64,Anonymized PCA feature
V15,float64,Anonymized PCA feature
V16,float64,Anonymized PCA feature
V17,float64,Anonymized PCA feature
V18,float64,Anonymized PCA feature
V19,float64,Anonymized PCA feature
V20,float64,Anonymized PCA feature
V21,float64,Anonymized PCA feature
V22,float64,Anonymized PCA feature
V23,float64,Anonymized PCA feature
V24,float64,Anonymized PCA feature
V25,float64,Anonymized PCA feature
V26,float64,Anonymized PCA feature
V27,float64,Anonymized PCA feature
V28,float64,Anonymized PCA feature
